설명: [조인-INNER 1] 주문마다 어떤 고객이 주문했는지 이름과 함께 확인한다.

실행 SQL:
-- [조인-INNER 1] 주문마다 어떤 고객이 주문했는지 이름과 함께 확인한다.
SELECT o.id AS 주문번호, c.name AS 고객, o.order_date, o.status
FROM orders o
INNER JOIN customer c ON o.customer_id = c.id
ORDER BY o.order_date;

실행 결과:
주문번호  고객   order_date  status
----  ---  ----------  ------
1     김도윤  2026-06-01  완료    
2     이하윤  2026-06-02  완료    
3     박서준  2026-06-05  제조중   
4     김도윤  2026-06-10  완료    
5     최수아  2026-06-12  완료    
6     정은우  2026-06-15  취소    
7     강하은  2026-06-18  완료    
8     조민재  2026-06-20  주문접수  
9     이하윤  2026-06-22  완료    
10    윤지안  2026-06-25  완료    
11    임서아  2026-06-28  제조중   
12    박서준  2026-06-30  완료    
